"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","QGDP","VOLIDX","IDX","Q","1970-Q1",28.405262412,
"USA","QGDP","VOLIDX","IDX","Q","1970-Q2",28.445578001,
"USA","QGDP","VOLIDX","IDX","Q","1970-Q3",28.707718462,
"USA","QGDP","VOLIDX","IDX","Q","1970-Q4",28.400075611,
"USA","QGDP","VOLIDX","IDX","Q","1971-Q1",29.171419617,
"USA","QGDP","VOLIDX","IDX","Q","1971-Q2",29.329272026,
"USA","QGDP","VOLIDX","IDX","Q","1971-Q3",29.570642281,
"USA","QGDP","VOLIDX","IDX","Q","1971-Q4",29.640365077,
"USA","QGDP","VOLIDX","IDX","Q","1972-Q1",30.185439204,
"USA","QGDP","VOLIDX","IDX","Q","1972-Q2",30.870579958,
"USA","QGDP","VOLIDX","IDX","Q","1972-Q3",31.162116123,
"USA","QGDP","VOLIDX","IDX","Q","1972-Q4",31.6839129,
"USA","QGDP","VOLIDX","IDX","Q","1973-Q1",32.468028396,
"USA","QGDP","VOLIDX","IDX","Q","1973-Q2",32.821495656,
"USA","QGDP","VOLIDX","IDX","Q","1973-Q3",32.648887891,
"USA","QGDP","VOLIDX","IDX","Q","1973-Q4",32.958796372,
"USA","QGDP","VOLIDX","IDX","Q","1974-Q1",32.67542568,
"USA","QGDP","VOLIDX","IDX","Q","1974-Q2",32.753089687,
"USA","QGDP","VOLIDX","IDX","Q","1974-Q3",32.443526225,
"USA","QGDP","VOLIDX","IDX","Q","1974-Q4",32.317599668,
"USA","QGDP","VOLIDX","IDX","Q","1975-Q1",31.924202092,
"USA","QGDP","VOLIDX","IDX","Q","1975-Q2",32.152312078,
"USA","QGDP","VOLIDX","IDX","Q","1975-Q3",32.70264776,
"USA","QGDP","VOLIDX","IDX","Q","1975-Q4",33.14299681,
"USA","QGDP","VOLIDX","IDX","Q","1976-Q1",33.888303305,
"USA","QGDP","VOLIDX","IDX","Q","1976-Q2",34.136941982,
